id	RNF43_WT_4	RNF43_WT_3	RNF43_WT_2	RNF43_WT_1	GFP_4	GFP_3	GFP_2	GFP_1	RNF43_659fs_4	RNF43_659fs_3	RNF43_659fs_2	RNF43_659fs_1	RNF43_117fs_4	RNF43_117fs_3	RNF43_117fs_2	RNF43_117fs_1
ENSG00000137962.12	-0.8400	-1.1561	-0.2193	-1.2164	0.9039	0.2690	0.6372	0.1866	0.0797	0.9328	0.2975	0.0591	-2.3954	1.0678	1.4976	-0.1039
ENSG00000138193.14	1.2399	0.2122	0.5671	-0.4153	-0.7295	-0.0327	-1.7880	0.7471	1.8562	-0.0298	-0.8298	0.0124	-1.8722	-0.2742	0.5527	0.7839
ENSG00000152942.18	0.3569	0.0112	-0.8218	-0.0413	-0.2533	1.4788	1.1743	0.0525	-1.5435	0.5570	-1.3266	-0.4426	-1.4842	-0.3798	1.4394	1.2229
ENSG00000272420.1	-1.8420	0.8662	0.7971	1.4436	-1.6013	1.3835	-0.2968	0.0017	-0.5578	0.3691	-1.1473	0.2866	-0.0664	0.2524	0.9644	-0.8528
ENSG00000158411.10	-0.0050	-0.3093	-0.4452	0.1112	1.2218	1.5764	1.3898	1.2707	-0.7054	-0.1779	-0.1415	-0.6883	-2.4417	-0.2989	-0.0522	-0.3047
ENSG00000172667.10	-1.1234	-0.5865	-1.7708	-1.0786	1.8845	0.6637	1.5347	0.6764	-0.5671	0.3139	0.0694	-0.5000	0.3574	0.6344	0.4373	-0.9454
ENSG00000118363.11	0.0253	0.5185	-0.5677	0.5509	-0.1206	0.4403	-0.6378	0.1086	-0.6970	0.2349	0.1136	0.7590	-3.1508	1.2035	0.9478	0.2715
ENSG00000273311.1	-1.2046	-1.3347	0.4231	0.2166	-0.1856	0.0293	-0.6842	-0.2658	-0.3008	0.4513	-0.5014	-1.4153	0.6306	0.9983	2.5925	0.5509
ENSG00000204314.10	-0.0388	-1.9500	-0.7016	-0.6349	0.8989	0.8245	-0.0047	1.2279	-0.4024	-0.6893	0.1457	-0.5878	2.2372	0.5548	-0.9882	0.1087
ENSG00000135903.18	-0.3772	-0.1819	0.0487	-0.5172	1.2016	1.1150	1.0624	1.3713	-1.2209	-1.6736	0.1174	-1.9273	0.0208	0.3262	-0.1977	0.8323
ENSG00000121644.18	0.1388	0.1265	0.4679	-0.8742	0.6674	0.1071	0.4976	-0.2490	0.0359	1.1881	0.5893	0.4696	-3.1652	0.2584	0.6179	-0.8762
ENSG00000138495.6	-0.3402	0.2907	0.8291	-1.2063	-2.0328	0.5209	-0.1913	0.4418	0.4073	0.3762	1.5715	0.2073	0.7573	-0.0187	0.4835	-2.0963
ENSG00000169992.9	-0.9779	-1.2503	-0.9139	-1.9777	0.4837	-0.3666	-0.6825	0.3929	1.6701	1.4361	1.2819	0.0824	0.2465	-0.0220	0.2542	0.3432
ENSG00000239344.1	-0.9736	1.7851	0.4375	-0.0746	-1.6898	1.0236	0.3720	0.4722	-0.5019	0.8889	-0.6076	-0.0513	1.2938	-1.7688	-0.3503	-0.2552
ENSG00000127564.16	-0.5752	-0.7236	-1.5692	0.1049	1.3839	0.7386	0.9380	1.4545	-0.4412	-0.6271	-0.4231	-0.6530	1.7250	-1.2564	-0.5203	0.4443
ENSG00000176973.7	-0.2167	-1.5283	-1.2971	-1.1498	0.8955	0.6670	1.2207	0.8993	-0.2240	-0.0401	0.6182	-0.2289	1.9119	-1.3694	0.0580	-0.2163
